building_id,boundaries_xMin,boundaries_yMin,boundaries_xMax,boundaries_yMax
1.0,-470.0,-477.5,-340.0,-413.5
2.0,-308.0,-477.5,-178.0,-413.5
3.0,-146.0,-477.5,-16.0,-413.5
4.0,16.0,-477.5,146.0,-413.5
5.0,178.0,-477.5,308.0,-413.5
6.0,340.0,-477.5,470.0,-413.5
7.0,-470.0,-396.5,-340.0,-332.5
8.0,-308.0,-396.5,-178.0,-332.5
9.0,-146.0,-396.5,-16.0,-332.5
10.0,16.0,-396.5,146.0,-332.5
11.0,178.0,-396.5,308.0,-332.5
12.0,340.0,-396.5,470.0,-332.5
13.0,-470.0,-315.5,-340.0,-251.5
14.0,-308.0,-315.5,-178.0,-251.5
15.0,-146.0,-315.5,-16.0,-251.5
16.0,16.0,-315.5,146.0,-251.5
17.0,178.0,-315.5,308.0,-251.5
18.0,340.0,-315.5,470.0,-251.5
19.0,-470.0,-234.5,-340.0,-170.5
20.0,-308.0,-234.5,-178.0,-170.5
21.0,-146.0,-234.5,-16.0,-170.5
22.0,16.0,-234.5,146.0,-170.5
23.0,178.0,-234.5,308.0,-170.5
24.0,340.0,-234.5,470.0,-170.5
25.0,-470.0,-153.5,-340.0,-89.5
26.0,-308.0,-153.5,-178.0,-89.5
27.0,-146.0,-153.5,-16.0,-89.5
28.0,16.0,-153.5,146.0,-89.5
29.0,178.0,-153.5,308.0,-89.5
30.0,340.0,-153.5,470.0,-89.5
31.0,-470.0,-72.5,-340.0,-8.5
32.0,-308.0,-72.5,-178.0,-8.5
33.0,-146.0,-72.5,-16.0,-8.5
34.0,16.0,-72.5,146.0,-8.5
35.0,178.0,-72.5,308.0,-8.5
36.0,340.0,-72.5,470.0,-8.5
37.0,-470.0,8.5,-340.0,72.5
38.0,-308.0,8.5,-178.0,72.5
39.0,-146.0,8.5,-16.0,72.5
40.0,16.0,8.5,146.0,72.5
41.0,178.0,8.5,308.0,72.5
42.0,340.0,8.5,470.0,72.5
43.0,-470.0,89.5,-340.0,153.5
44.0,-308.0,89.5,-178.0,153.5
45.0,-146.0,89.5,-16.0,153.5
46.0,16.0,89.5,146.0,153.5
47.0,178.0,89.5,308.0,153.5
48.0,340.0,89.5,470.0,153.5
49.0,-470.0,170.5,-340.0,234.5
50.0,-308.0,170.5,-178.0,234.5
51.0,-146.0,170.5,-16.0,234.5
52.0,16.0,170.5,146.0,234.5
53.0,178.0,170.5,308.0,234.5
54.0,340.0,170.5,470.0,234.5
55.0,-470.0,251.5,-340.0,315.5
56.0,-308.0,251.5,-178.0,315.5
57.0,-146.0,251.5,-16.0,315.5
58.0,16.0,251.5,146.0,315.5
59.0,178.0,251.5,308.0,315.5
60.0,340.0,251.5,470.0,315.5
61.0,-470.0,332.5,-340.0,396.5
62.0,-308.0,332.5,-178.0,396.5
63.0,-146.0,332.5,-16.0,396.5
64.0,16.0,332.5,146.0,396.5
65.0,178.0,332.5,308.0,396.5
66.0,340.0,332.5,470.0,396.5
67.0,-470.0,413.5,-340.0,477.5
68.0,-308.0,413.5,-178.0,477.5
69.0,-146.0,413.5,-16.0,477.5
70.0,16.0,413.5,146.0,477.5
71.0,178.0,413.5,308.0,477.5
72.0,340.0,413.5,470.0,477.5
