building_id,boundaries_xMin,boundaries_yMin,boundaries_xMax,boundaries_yMax,boundaries_zMax,boundaries_zMin
1.0,-470.0,-477.5,-340.0,-413.5,0.0,6.0
2.0,-308.0,-477.5,-178.0,-413.5,0.0,6.0
3.0,-146.0,-477.5,-16.0,-413.5,0.0,6.0
4.0,16.0,-477.5,146.0,-413.5,0.0,6.0
5.0,178.0,-477.5,308.0,-413.5,0.0,6.0
6.0,340.0,-477.5,470.0,-413.5,0.0,6.0
7.0,-470.0,-396.5,-340.0,-332.5,0.0,6.0
8.0,-308.0,-396.5,-178.0,-332.5,0.0,6.0
9.0,-146.0,-396.5,-16.0,-332.5,0.0,6.0
10.0,16.0,-396.5,146.0,-332.5,0.0,6.0
11.0,178.0,-396.5,308.0,-332.5,0.0,6.0
12.0,340.0,-396.5,470.0,-332.5,0.0,6.0
13.0,-470.0,-315.5,-340.0,-251.5,0.0,6.0
14.0,-308.0,-315.5,-178.0,-251.5,0.0,6.0
15.0,-146.0,-315.5,-16.0,-251.5,0.0,6.0
16.0,16.0,-315.5,146.0,-251.5,0.0,6.0
17.0,178.0,-315.5,308.0,-251.5,0.0,6.0
18.0,340.0,-315.5,470.0,-251.5,0.0,6.0
19.0,-470.0,-234.5,-340.0,-170.5,0.0,6.0
20.0,-308.0,-234.5,-178.0,-170.5,0.0,6.0
21.0,-146.0,-234.5,-16.0,-170.5,0.0,6.0
22.0,16.0,-234.5,146.0,-170.5,0.0,6.0
23.0,178.0,-234.5,308.0,-170.5,0.0,6.0
24.0,340.0,-234.5,470.0,-170.5,0.0,6.0
25.0,-470.0,-153.5,-340.0,-89.5,0.0,6.0
26.0,-308.0,-153.5,-178.0,-89.5,0.0,6.0
27.0,-146.0,-153.5,-16.0,-89.5,0.0,6.0
28.0,16.0,-153.5,146.0,-89.5,0.0,6.0
29.0,178.0,-153.5,308.0,-89.5,0.0,6.0
30.0,340.0,-153.5,470.0,-89.5,0.0,6.0
31.0,-470.0,-72.5,-340.0,-8.5,0.0,6.0
32.0,-308.0,-72.5,-178.0,-8.5,0.0,6.0
33.0,-146.0,-72.5,-16.0,-8.5,0.0,6.0
34.0,16.0,-72.5,146.0,-8.5,0.0,6.0
35.0,178.0,-72.5,308.0,-8.5,0.0,6.0
36.0,340.0,-72.5,470.0,-8.5,0.0,6.0
37.0,-470.0,8.5,-340.0,72.5,0.0,6.0
38.0,-308.0,8.5,-178.0,72.5,0.0,6.0
39.0,-146.0,8.5,-16.0,72.5,0.0,6.0
40.0,16.0,8.5,146.0,72.5,0.0,6.0
41.0,178.0,8.5,308.0,72.5,0.0,6.0
42.0,340.0,8.5,470.0,72.5,0.0,6.0
43.0,-470.0,89.5,-340.0,153.5,0.0,6.0
44.0,-308.0,89.5,-178.0,153.5,0.0,6.0
45.0,-146.0,89.5,-16.0,153.5,0.0,6.0
46.0,16.0,89.5,146.0,153.5,0.0,6.0
47.0,178.0,89.5,308.0,153.5,0.0,6.0
48.0,340.0,89.5,470.0,153.5,0.0,6.0
49.0,-470.0,170.5,-340.0,234.5,0.0,6.0
50.0,-308.0,170.5,-178.0,234.5,0.0,6.0
51.0,-146.0,170.5,-16.0,234.5,0.0,6.0
52.0,16.0,170.5,146.0,234.5,0.0,6.0
53.0,178.0,170.5,308.0,234.5,0.0,6.0
54.0,340.0,170.5,470.0,234.5,0.0,6.0
55.0,-470.0,251.5,-340.0,315.5,0.0,6.0
56.0,-308.0,251.5,-178.0,315.5,0.0,6.0
57.0,-146.0,251.5,-16.0,315.5,0.0,6.0
58.0,16.0,251.5,146.0,315.5,0.0,6.0
59.0,178.0,251.5,308.0,315.5,0.0,6.0
60.0,340.0,251.5,470.0,315.5,0.0,6.0
61.0,-470.0,332.5,-340.0,396.5,0.0,6.0
62.0,-308.0,332.5,-178.0,396.5,0.0,6.0
63.0,-146.0,332.5,-16.0,396.5,0.0,6.0
64.0,16.0,332.5,146.0,396.5,0.0,6.0
65.0,178.0,332.5,308.0,396.5,0.0,6.0
66.0,340.0,332.5,470.0,396.5,0.0,6.0
67.0,-470.0,413.5,-340.0,477.5,0.0,6.0
68.0,-308.0,413.5,-178.0,477.5,0.0,6.0
69.0,-146.0,413.5,-16.0,477.5,0.0,6.0
70.0,16.0,413.5,146.0,477.5,0.0,6.0
71.0,178.0,413.5,308.0,477.5,0.0,6.0
72.0,340.0,413.5,470.0,477.5,0.0,6.0
